@relation images
@attribute faces_detected_up real
@attribute faces_detected_right real
@attribute faces_detected_down real
@attribute faces_detected_left real
@attribute reg0r-avg real
@attribute reg0r-var real
@attribute reg0g-avg real
@attribute reg0g-var real
@attribute reg0b-avg real
@attribute reg0b-var real
@attribute reg1r-avg real
@attribute reg1r-var real
@attribute reg1g-avg real
@attribute reg1g-var real
@attribute reg1b-avg real
@attribute reg1b-var real
@attribute reg2r-avg real
@attribute reg2r-var real
@attribute reg2g-avg real
@attribute reg2g-var real
@attribute reg2b-avg real
@attribute reg2b-var real
@attribute reg3r-avg real
@attribute reg3r-var real
@attribute reg3g-avg real
@attribute reg3g-var real
@attribute reg3b-avg real
@attribute reg3b-var real
@attribute class { "right", "down", "up", "left" }
@data
0,0,0,0,0.4307551772,0.1178423146,0.5163492449,0.0674895284,0.598637485,0.0365453975,0.7012139279,0.0146056892,0.8028313304,0.0021098011,0.8302521774,0.0005837735,0.4776785714,0.1212119752,0.5393016582,0.1027567578,0.5663247976,0.101981582,0.6189811862,0.0800627156,0.6488187666,0.0555267234,0.6517007958,0.0476294634,"down"
0,0,0,0,0.4208062864,0.0078738936,0.372490378,0.0094097631,0.3373592601,0.0085016494,0.6763006472,0.0041292242,0.6435858035,0.0047559775,0.6230193493,0.0047900155,0.5111294588,0.013820042,0.4727376968,0.0165443198,0.4435174775,0.0171136208,0.5688001456,0.0194999362,0.5263504191,0.0222563214,0.5029752019,0.0230130988,"down"
0,0,0,0,0.4473291016,0.0215030248,0.5044921875,0.0211158562,0.1940380859,0.0229915781,0.205222168,0.0077180083,0.2440991211,0.0094245512,0.2121118164,0.0050585403,0.1983938074,0.0305600629,0.2132753808,0.0306354437,0.1587769981,0.0115992735,0.3765944543,0.0246622458,0.4247084985,0.028589604,0.2290797162,0.0168750555,"down"
0,0,0,0,0.3021850586,0.0026937307,0.3069971258,0.0022857002,0.2533125444,0.0028079366,0.8542605313,0.0008756876,0.8560971347,0.0006859526,0.8603016246,0.0004692269,0.4369927429,0.0907080224,0.4438777399,0.0897540077,0.4243613004,0.0997997135,0.3138736671,0.1007260802,0.3215936019,0.0994263784,0.2985485782,0.1038741754,"down"
0,0,0,0,0.6504946622,0.0106131164,0.6525004994,0.0110027815,0.6273942427,0.012586865,0.387810447,0.1244258721,0.3945118297,0.1228984482,0.3493472013,0.1191908084,0.1804613448,0.0252462609,0.1861004147,0.0238181824,0.2137607376,0.0248072823,0.4474063241,0.0917360912,0.4939166173,0.0876067433,0.4834549023,0.0889275569,"up"
0,0,1,0,0.7356026389,0.0008536516,0.7989182906,0.0005776909,0.8584067605,0.0003302584,0.5057137229,0.0106160103,0.5015106201,0.009201786,0.4789137407,0.0057265474,0.5224007701,0.0259967054,0.5654731931,0.0261878975,0.5350025918,0.0517416985,0.4763884775,0.0441043207,0.5152177133,0.0463341234,0.5180020735,0.0629610949,"up"
0,0,0,1,0.265108085,0.0104647131,0.2339907046,0.0068833735,0.1641649788,0.0031060597,0.448409469,0.0050626434,0.6025797526,0.0031587296,0.8208429784,0.0017194995,0.6297323391,0.0708158073,0.6343919661,0.0856641026,0.5791045922,0.1354576622,0.1884715131,0.0196716512,0.2177683881,0.0403360319,0.2432054679,0.0794167003,"down"
1,0,0,0,0.2946879069,0.05113176,0.493174235,0.0582044521,0.5441652934,0.0534573235,0.3751271566,0.0664740937,0.3415412903,0.0298063201,0.3538856506,0.0299064737,0.1567268272,0.0153144333,0.2156056554,0.0182486329,0.2448872584,0.0160581812,0.2305909264,0.0447281092,0.34285404,0.0766809359,0.3757788743,0.0795124593,"down"
0,0,0,2,0.4656677246,0.0405895875,0.2658030192,0.0516352734,0.1125882467,0.0309486901,0.2720578512,0.0004871576,0.1384811401,0.0001595153,0.0712509155,0.0002546743,0.4879537495,0.0367778365,0.2755229827,0.0385175906,0.1013402069,0.0206787318,0.4306462451,0.0557655999,0.280849533,0.0709311624,0.1709688586,0.0477886324,"up"
0,1,1,0,0.4600868225,0.0608642762,0.4432182312,0.0956857899,0.3465805054,0.0976951471,0.5027084351,0.0136300879,0.4588317871,0.01593957,0.0758209229,0.0172853132,0.4784391319,0.0429955865,0.4926311602,0.0508876057,0.2659054749,0.0931554461,0.4108599869,0.034068835,0.3863005875,0.0414407839,0.1474226909,0.0514853316,"down"
